Time,VWC,UG2AG,UG2UG
'14/11/19 23:32:21',41.67,-76,
'14/11/19 23:47:21',41.67,-74,
'15/11/19 00:02:21',41.67,-74,
'15/11/19 00:17:21',41.67,-76,
'15/11/19 00:32:21',41.67,-75,
'15/11/19 00:47:21',41.67,-74,
'15/11/19 01:02:21',41.67,-75,
'15/11/19 01:17:21',41.67,-75,
'15/11/19 01:32:21',41.67,-75,
'15/11/19 01:47:21',41.67,-75,
'15/11/19 02:02:22',41.67,-74,
'15/11/19 02:17:21',41.67,-75,
'15/11/19 02:32:22',41.67,-75,
'15/11/19 02:47:21',41.67,-74,
'15/11/19 03:02:22',41.67,-75,
'15/11/19 03:17:21',41.67,-74,
'15/11/19 03:32:21',41.67,-74,
'15/11/19 03:47:21',41.67,-75,
'15/11/19 04:02:21',41.67,-74,
'15/11/19 04:17:21',41.67,-74,
'15/11/19 04:32:21',41.67,-75,
'15/11/19 04:47:22',41.64,-76,
'15/11/19 05:02:22',41.67,-75,
'15/11/19 05:17:21',41.67,-76,
'15/11/19 05:17:22',41.64,-75,
'15/11/19 05:32:22',41.64,-75,
'15/11/19 05:47:21',41.64,-75,
'15/11/19 05:47:22',41.64,-75,
'15/11/19 06:02:21',41.64,-76,
'15/11/19 06:02:22',41.67,-74,
'15/11/19 06:17:21',41.64,-76,
'15/11/19 06:32:21',41.64,-75,
'15/11/19 06:32:22',41.64,-75,
'15/11/19 06:47:21',41.64,-75,
'15/11/19 06:47:22',41.64,-75,
'15/11/19 07:02:21',41.64,-76,
'15/11/19 07:02:22',41.64,-75,
'15/11/19 07:17:21',41.64,-74,
'15/11/19 07:17:22',41.64,-77,
'15/11/19 07:32:21',41.64,-76,
'15/11/19 07:32:22',41.64,-76,
'15/11/19 07:47:21',41.64,-76,
'15/11/19 07:47:22',41.64,-75,
'15/11/19 08:02:21',41.64,-76,
'15/11/19 08:02:22',41.64,-75,
'15/11/19 08:17:21',41.64,-75,
'15/11/19 08:32:21',41.64,-75,
'15/11/19 08:32:22',41.64,-75,
'15/11/19 08:47:21',41.64,-75,
'15/11/19 08:47:22',41.64,-74,
'15/11/19 09:02:21',41.64,-76,
'15/11/19 09:02:22',41.64,-76,
'15/11/19 09:17:21',41.64,-75,
'15/11/19 09:17:22',41.64,-76,
'15/11/19 09:32:21',41.64,-76,
'15/11/19 09:32:22',41.64,-75,
'15/11/19 09:47:21',41.64,-77,
'15/11/19 09:47:22',41.64,-75,
'15/11/19 10:02:21',41.64,-76,
'15/11/19 10:02:22',41.64,-75,
'15/11/19 10:17:22',41.64,-74,
'15/11/19 10:17:23',41.64,-75,
'15/11/19 10:32:21',41.64,-76,
'15/11/19 10:32:22',41.64,-74,
'15/11/19 10:47:21',41.64,-75,
'15/11/19 10:47:22',41.64,-76,
'15/11/19 11:02:21',41.64,-77,
'15/11/19 11:02:22',41.64,-76,
'15/11/19 11:17:21',41.64,-76,
'15/11/19 11:17:22',41.64,-75,
'15/11/19 11:32:21',41.64,-75,
'15/11/19 11:32:22',41.61,-76,
'15/11/19 11:47:21',41.61,-76,
'15/11/19 11:47:22',41.64,-77,
'15/11/19 12:02:21',41.64,-76,
'15/11/19 12:02:22',41.64,-76,
'15/11/19 12:17:21',41.64,-75,
'15/11/19 12:17:22',41.64,-76,
